accession_number,image_file,title,record_type,status,collection_name,location,historical_theme,neighborhood,time_period,people,donor,object_date,format_material,condition,rights_status,sensitivity,is_public,photo_credit,description,significance,provenance,notes,tags,
SRM-2026-077,coll048.jpg,Smith Robertson class portrait with young children posed outdoors,Photograph,In Storage,SRM Collection,Object Storage,African American Education,Smith Robertson Campus,early 20th century,unidentified students,,,black-and-white print photograph,Stable,Rights Unknown,Review Before Public Display,TRUE,,Group portrait of young students gathered outdoors for a class photograph associated with Smith Robertson School.,Documents student life and educational community memory connected to Smith Robertson School.,,Visual review suggests a Smith Robertson class group; individual students and exact date remain unidentified.,Smith Robertson School; class portrait; students; school photograph,
SRM-2026-078,coll049.jpg,Smith Robertson class portrait with teacher,Photograph,In Storage,School History Collection,Photo Storage,African American Education,Smith Robertson Campus,20th century,,,,black-and-white print photograph,Fragile,Rights Unknown,Review Before Public Display,TRUE,,Large group class portrait with students and a teacher posed outside a school building.,Offers visual documentation of school community and classroom life connected to Black public education.,,Source image: Untitled design (38)/4.png. Some image wear visible around edges.,school photograph; teacher; students; African American education,
SRM-2026-079,coll050.jpg,Piney Woods pennant ('21),Artifact,In Storage,School History Collection,Object Storage,African American Education,Mississippi,20th century,,,21,painted felt or fabric pennant,Stable,Rights Unknown,Review Before Public Display,TRUE,,Purple and gold pennant reading '21 Piney Woods.',Connects the collection to Black educational institutions and school identity in Mississippi.,,Source image: Untitled design (38)/5.png. Exact institution/date meaning should be confirmed.,pennant; Piney Woods; school memorabilia; African American education,
SRM-2026-080,coll051.jpg,Inventory of Jerry and Sue Whitt donation,Archive,In Storage,Museum Administrative Records,Archives Storage,Arts And Culture,"Jackson, Mississippi",2000s,Jerry Whitt; Sue Whitt,Jerry Whitt; Sue Whitt,"May 10, 2007; signed June 24, 2007",typed paper document,Stable,Museum Use Only,Review Before Public Display,TRUE,,Donation inventory sheet listing objects given permanently to the Smith Robertson Museum and Cultural Center by Jerry and Sue Whitt.,Documents provenance and donor history for a group of objects entering the museum collection in 2007.,,"Source image: Untitled design (37)/1.png. Listed objects include Village Life, Child Taken by Mermaid, Zimbabwe woven hat, and framed Zimbabwe paintings.",donation record; museum administration; provenance; Whitt donation,
SRM-2026-081,coll052.jpg,Mounted Smith Robertson commencement program and tuition receipt,Archive,In Storage,School History Collection,Archives Storage,African American Education,Smith Robertson Campus,1880s-1900s,,,"June 8, 1909; school month beginning Jan. 1, 1889",printed paper mounted on board,Fragile,Rights Unknown,Review Before Public Display,TRUE,,Mounted display containing a Smith Robertson School commencement program and an earlier school tuition receipt.,"Brings together rare documentary evidence of school life, ceremony, and payment records tied to the early history of Smith Robertson.",,Source image: Untitled design (37)/2.png. Tuition receipt handwriting is partially illegible and should be transcribed from the original object.,Smith Robertson School; commencement; tuition receipt; school records,
SRM-2026-082,coll053.jpg,Carved wooden face mask,Artifact,In Storage,Museum Object Collection,Object Storage,Arts And Culture,Geographies To Be Confirmed,20th century?,,,,carved wood,Stable,Rights Unknown,Review Before Public Display,TRUE,,Tall carved wooden face mask with black incised design lines.,"Represents carved object holdings and may connect to African art, collecting, or exhibition history within the museum.",,Source image: Untitled design (37)/3.png. Cultural attribution should be confirmed by collections staff.,mask; wood carving; artifact; African art,
SRM-2026-083,coll054.jpg,Rules and Regulations for the Certification of the Administrative and Instructional Personnel (inscribed copy),Archive,In Storage,School History Collection,Archives Storage,African American Education,Mississippi,1950s,Betty Mae York; Bilbo Young,,1958 revision,printed booklet,Stable,Rights Unknown,Review Before Public Display,TRUE,,"State Department of Education booklet outlining certification rules for administrative and instructional personnel, inscribed 'Betty Mae York.'",Documents mid-century teacher certification policy and personal ownership by an educator connected to the collection.,,Source image: Untitled design (37)/4.png.,education policy; teacher certification; Betty Mae York; Mississippi education,
SRM-2026-084,coll055.jpg,Tomorrow Was Yesterday,Archive,In Storage,Museum Library,Archives Storage,Arts And Culture,Geographies To Be Confirmed,20th century,James N. Brown,,,printed play booklet,Stable,Rights Unknown,Review Before Public Display,TRUE,,Printed copy of the play 'Tomorrow Was Yesterday: A Play in Nine Scenes' by James N. Brown.,Represents literary and dramatic materials that may support interpretation of Black intellectual and cultural history.,,Source image: Untitled design (37)/5.png.,play; James N. Brown; booklet; literature,
SRM-2026-085,coll056.jpg,On-the-Job Education in Rural Communities (inscribed title-page copy),Archive,In Storage,Museum Library,Archives Storage,African American Education,Rural communities,1940s,Roy W. Roberts; Betty Mae York,,1947-02-01 00:00:00,printed yearbook/booklet,Stable,Rights Unknown,Review Before Public Display,TRUE,,"Title-page view of 'On-the-Job Education in Rural Communities,' edited by Roy W. Roberts, with ownership inscription 'Betty Mae York.'",Documents educational thought and rural community instruction in the postwar period.,,Source image: Untitled design (37)/6.png. May be the same physical publication as SRM-2026-086 photographed from a different side.,rural education; yearbook; Betty Mae York; education history,
SRM-2026-086,coll057.jpg,On-the-Job Education in Rural Communities (cover copy),Archive,In Storage,Museum Library,Archives Storage,African American Education,Rural communities,1940s,,,1947-02-01 00:00:00,printed yearbook/booklet,Stable,Rights Unknown,Review Before Public Display,TRUE,,Cover view of the yearbook 'On-the-Job Education in Rural Communities.',Adds cover-design evidence for an educational publication tied to rural instruction and teacher training.,,Source image: Untitled design (37)/7.png. May represent the same physical publication as SRM-2026-085.,rural education; yearbook; education history; booklet,
SRM-2026-087,coll058.jpg,Closing Day Treasury,Archive,In Storage,Museum Library,Archives Storage,African American Education,Geographies To Be Confirmed,20th century,Marie Irish; Elizabeth F. Guptill,,,printed booklet,Stable,Rights Unknown,Review Before Public Display,TRUE,,Printed booklet titled 'Closing Day Treasury.',"May have been used in school or youth programming, offering insight into recitation, ceremony, or classroom culture.",,Source image: Untitled design (37)/8.png.,school booklet; classroom culture; recitations; education,
SRM-2026-088,coll059.jpg,Recitation Time,Archive,In Storage,Museum Library,Archives Storage,African American Education,Geographies To Be Confirmed,20th century,,,,printed booklet,Stable,Rights Unknown,Review Before Public Display,TRUE,,Printed booklet titled 'Recitation Time: A Collection of Bright Recitations.',Reflects historical classroom materials and school performance culture for primary and intermediate grades.,,Source image: Untitled design (37)/9.png.,recitation; school booklet; classroom material; education,
SRM-2026-089,coll060.jpg,School Laws of the State of Mississippi,Archive,In Storage,Museum Library,Archives Storage,African American Education,Mississippi,1930s,J. S. Vandiver,,"Code of 1930, as amended to 1938",printed booklet,Stable,Rights Unknown,Review Before Public Display,TRUE,,Issued state school law booklet for Mississippi education administration.,Provides legal context for how schools were governed in Mississippi during segregation-era education history.,,Source image: Untitled design (37)/10.png.,school law; Mississippi education; policy; segregation era,
SRM-2026-090,coll061.jpg,Fortieth Annual Convention of the Fifth Educational District of Mississippi Teachers Association,Archive,In Storage,Museum Library,Archives Storage,African American Education,"Meridian, Mississippi",1960s,,,"January 24-25, 1964",printed convention program,Stable,Rights Unknown,Review Before Public Display,TRUE,,Convention program for the Fifth Educational District of the Mississippi Teachers Association at Carver Jr. High School.,Documents teacher professional networks and Black education leadership in Mississippi in the 1960s.,,Source image: Untitled design (37)/11.png.,teachers association; convention program; Mississippi education; 1964,
SRM-2026-091,coll062.jpg,Rules and Regulations for the Certification of the Administrative and Instructional Personnel (plain copy),Archive,In Storage,School History Collection,Archives Storage,African American Education,Mississippi,1950s,Bilbo Young,,1958 revision,printed booklet,Stable,Rights Unknown,Review Before Public Display,TRUE,,Additional copy of a State Department of Education certification booklet for instructional and administrative personnel.,"Useful for comparing editions, ownership marks, or circulation history within the collection.",,Source image: Untitled design (37)/12.png. May duplicate or accompany SRM-2026-083.,education policy; teacher certification; Mississippi education; booklet,
SRM-2026-092,coll063.jpg,The County Superintendent of Schools in the United States,Archive,In Storage,Museum Library,Archives Storage,African American Education,United States,20th century,,,,printed yearbook/booklet,Stable,Rights Unknown,Review Before Public Display,TRUE,,Yearbook publication titled 'The County Superintendent of Schools in the United States.',Represents professional educational literature that may have informed school administration and teacher practice.,,Source image: Untitled design (37)/13.png.,school administration; yearbook; education history; professional literature,
SRM-2026-093,coll064.jpg,Souvenir Program of Miss Tan America Morton Pageant,Archive,In Storage,Programs And Ephemera,Archives Storage,Arts And Culture,"Jackson, Mississippi",1960s,,,1965-03-12 00:00:00,printed program,Stable,Rights Unknown,Review Before Public Display,TRUE,,Souvenir program for the 1965 Miss Tan America Morton Pageant at Bettye Mae Jack High School.,"Documents Black beauty culture, student performance, and community pageantry in mid-century Mississippi.",,Source image: Untitled design (37)/14.png.,pageant; program; Black beauty culture; 1965,
SRM-2026-094,coll065.jpg,The Southern Register (Fall 1985),Archive,In Storage,Museum Library,Archives Storage,Arts And Culture,Mississippi,1980s,Richard Wright,,Fall 1985,printed newsletter,Stable,Rights Unknown,Review Before Public Display,TRUE,,"Issue of The Southern Register, newsletter of the Center for the Study of Southern Culture at the University of Mississippi.","Includes coverage of southern culture scholarship and a Richard Wright symposium, offering context for literary and cultural interpretation.",,Source image: Untitled design (37)/15.png.,newsletter; Southern culture; Richard Wright; University of Mississippi,
SRM-2026-095,coll066.jpg,From Nancy Cabot's Scrapbook quilt clipping,Archive,In Storage,Programs And Ephemera,Archives Storage,Arts And Culture,United States,20th century,Nancy Cabot,,,newspaper clipping,Stable,Rights Unknown,Review Before Public Display,TRUE,,Newspaper clipping featuring quilt block patterns under the heading 'From Nancy Cabot's Scrapbook.',"Useful for documenting domestic arts, print culture, and quilting references within educational or community history collections.",,Source image: Untitled design (37)/16.png.,quilt patterns; newspaper clipping; domestic arts; ephemera,
